Strain Name,Virus Type,GenBank Accession,Sequence Length,Pango Genome Lineage,Collection Date,Host,GenBank Host,Country,Mol Type
A/MAI/2/97,Foot-and-mouth disease virus - type A,EF208776,636,-N/A-,1997,Unknown,-N/A-,Mali,genomic RNA
ETH/53/2005,Foot-and-mouth disease virus - type O,FJ798114,639,-N/A-,01-09-05,Cattle,cattle,Ethiopia,genomic RNA
ETH/65/2005,Foot-and-mouth disease virus - type O,FJ798124,639,-N/A-,04/20/2005,Cattle,cattle,Ethiopia,genomic RNA
KEN/2/94,Foot-and-mouth disease virus - type SAT 2,AY343955,648,-N/A-,-N/A-,Cattle,bovine,Kenya,genomic RNA
ZIM/16/91,Foot-and-mouth disease virus - type SAT 2,AY254722,384,-N/A-,-N/A-,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
TAN/1/75,Foot-and-mouth disease virus - type SAT 2,AY343970,648,-N/A-,-N/A-,Cattle,bovine,Tanzania,genomic RNA
KEN/5/99,Foot-and-mouth disease virus - type SAT 2,AF367131,648,-N/A-,-N/A-,Unknown,-N/A-,Kenya,genomic RNA
KNP/51/93,Foot-and-mouth disease virus - type SAT 2,AF136995,414,-N/A-,-N/A-,Antelope,impala; Aepyceros melampus,South Africa,genomic RNA
SAR/3/71,Foot-and-mouth disease virus - type SAT 1,AY396722,417,-N/A-,-N/A-,Cattle,cattle,South Africa,genomic RNA
K15/07,Foot-and-mouth disease virus - type SAT 2,HM623704,648,-N/A-,2007,Cattle,cattle,Kenya,genomic RNA
K66/80,Foot-and-mouth disease virus - type SAT 1,HQ267520,663,-N/A-,1980,Cattle,cattle,Kenya,genomic RNA
SAR/11/81,Foot-and-mouth disease virus - type SAT 1,AY396746,417,-N/A-,-N/A-,Pig,Phacochoerus aethiopicus,South Africa,genomic RNA
ETH/19/83,Foot-and-mouth disease virus - type O,AY283378,495,-N/A-,-N/A-,Cattle,cattle,Ethiopia,genomic RNA
vdi/044/07,Foot-and-mouth disease virus - type SAT 2,AY254465,357,-N/A-,-N/A-,Unknown,-N/A-,Cameroon,mRNA
ETH/3/2004,Foot-and-mouth disease virus - type O,FJ798109,639,-N/A-,01-01-04,Cattle,cattle,Ethiopia,genomic RNA
KEN/1/86,Foot-and-mouth disease virus - type SAT 2,AY343943,648,-N/A-,-N/A-,Cattle,bovine,Kenya,genomic RNA
UGA/6/76,Foot-and-mouth disease virus - type O,AY344622,495,-N/A-,-N/A-,Cattle,cattle,Uganda,genomic RNA
K11/96,Foot-and-mouth disease virus - type C,GU451115,627,-N/A-,1996,Cattle,bovine,Kenya,genomic RNA
KNP/02/02/1,Foot-and-mouth disease virus - type SAT 1,DQ780587,381,-N/A-,-N/A-,Buffalo,buffalo,South Africa,genomic RNA
ETH/18/2007,Foot-and-mouth disease virus - type SAT 1,FJ798155,663,-N/A-,12-06-07,Goat,goat,Ethiopia,genomic RNA
KEN/1/84,Foot-and-mouth disease virus - type SAT 2,AY344505,648,-N/A-,-N/A-,Cattle,bovine,Kenya,genomic RNA
ZIM/7/95,Foot-and-mouth disease virus - type SAT 2,AY254727,384,-N/A-,-N/A-,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
SWL/4/00,Foot-and-mouth disease virus - type SAT 1,AF446017,402,-N/A-,-N/A-,Bovine,Bovine (Bos taurus),Swaziland,genomic RNA
KEN/19/98,Foot-and-mouth disease virus - type O,AY344593,495,-N/A-,-N/A-,Cattle,cattle,Kenya,genomic RNA
mfa/055/03,Foot-and-mouth disease virus - type A,AY254408,537,-N/A-,-N/A-,Unknown,-N/A-,Cameroon,mRNA
ETH/14/2005,Foot-and-mouth disease virus - type A,FJ798146,639,-N/A-,1981,Cattle,cattle,Ethiopia,genomic RNA
KNP/10/03/1,Foot-and-mouth disease virus - type SAT 1,DQ780591,381,-N/A-,-N/A-,Buffalo,buffalo,South Africa,genomic RNA
ZIM/01/88,Foot-and-mouth disease virus - type SAT 2,GU194491,2220,-N/A-,1988,Buffalo,buffalo,Zimbabwe,genomic RNA
SAR/4/01,Foot-and-mouth disease virus - type SAT 2,AY442906,648,-N/A-,-N/A-,Unknown,-N/A-,South Africa,genomic RNA
ETH/59/2005,Foot-and-mouth disease virus - type O,FJ798142,642,-N/A-,04/20/2005,Cattle,cattle,Ethiopia,genomic RNA
TAN/37/99,Foot-and-mouth disease virus - type SAT 1,AY442005,663,-N/A-,-N/A-,Unknown,-N/A-,Tanzania,genomic RNA
UGA/9/98,Foot-and-mouth disease virus - type O,AY344629,495,-N/A-,-N/A-,Cattle,cattle,Uganda,genomic RNA
KNP/5/92,Foot-and-mouth disease virus - type SAT 2,AF136993,414,-N/A-,-N/A-,Antelope,impala; Aepyceros melampus,South Africa,genomic RNA
KEN/9/99,Foot-and-mouth disease virus - type SAT 2,AF367133,648,-N/A-,-N/A-,Unknown,-N/A-,Kenya,genomic RNA
vlv/122/02,Foot-and-mouth disease virus - type A,AY254426,537,-N/A-,-N/A-,Unknown,-N/A-,Cameroon,mRNA
KNP/8/88,Foot-and-mouth disease virus - type SAT 2,AF137001,414,-N/A-,-N/A-,Bovine,African buffalo; Syncerus caffer,South Africa,genomic RNA
SAR/7/01,Foot-and-mouth disease virus - type SAT 2,AY442909,648,-N/A-,-N/A-,Unknown,-N/A-,South Africa,genomic RNA
UGA/1/96,Foot-and-mouth disease virus - type O,AY344617,495,-N/A-,-N/A-,Cattle,cattle,Uganda,genomic RNA
KNP/20/88,Foot-and-mouth disease virus - type SAT 2,AF136990,414,-N/A-,-N/A-,Antelope,impala; Aepyceros melampus,South Africa,genomic RNA
ETH/1/95,Foot-and-mouth disease virus - type O,AY283387,495,-N/A-,-N/A-,Cattle,cattle,Ethiopia,genomic RNA
KNP/05/05/1,Foot-and-mouth disease virus - type SAT 1,DQ780598,381,-N/A-,-N/A-,Buffalo,buffalo,South Africa,genomic RNA
CAR/4/86,Foot-and-mouth disease virus - type A,AY254441,537,-N/A-,-N/A-,Unknown,-N/A-,Cameroon,mRNA
UGA/2C/74,Foot-and-mouth disease virus - type O,AY344627,495,-N/A-,-N/A-,Cattle,cattle,Uganda,genomic RNA
ZIM/1/00,Foot-and-mouth disease virus - type SAT 2,AF367136,648,-N/A-,-N/A-,Unknown,-N/A-,Zimbabwe,genomic RNA
UGA/1A/74,Foot-and-mouth disease virus - type O,AY344626,495,-N/A-,-N/A-,Cattle,cattle,Uganda,genomic RNA
K67/05,Foot-and-mouth disease virus - type SAT 1,HQ267526,663,-N/A-,2005,Cattle,cattle,Kenya,genomic RNA
ZIM/8/91,Foot-and-mouth disease virus - type SAT 1,AY274497,417,-N/A-,-N/A-,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
KNP/33/94,Foot-and-mouth disease virus - type SAT 3,AY168803,417,-N/A-,-N/A-,Bovine,Syncerus caffer,South Africa,genomic RNA
ETH/30/94,Foot-and-mouth disease virus - type O,AY283386,495,-N/A-,-N/A-,Cattle,cattle,Ethiopia,genomic RNA
TAN/3/96,Foot-and-mouth disease virus - type O,AY344611,495,-N/A-,-N/A-,Cattle,cattle,Tanzania,genomic RNA
dnl/100/06,Foot-and-mouth disease virus - type A,AY254416,537,-N/A-,-N/A-,Unknown,-N/A-,Cameroon,mRNA
ZIM/7/89,Foot-and-mouth disease virus - type SAT 2,AY254718,384,-N/A-,-N/A-,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
SAT2/KEN/7/99,Foot-and-mouth disease virus - type SAT 2,GQ294637,269,-N/A-,-N/A-,Unknown,-N/A-,Kenya,genomic RNA
K110/81,Foot-and-mouth disease virus - type SAT 1,HQ267521,663,-N/A-,1981,Cattle,cattle,Kenya,genomic RNA
ZIM/Ck7/91,Foot-and-mouth disease virus - type SAT 3,AY258045,405,-N/A-,-N/A-,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/Ck5/91,Foot-and-mouth disease virus - type SAT 3,AY258044,405,-N/A-,-N/A-,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
KNP/26/89,Foot-and-mouth disease virus - type SAT 1,AY396738,417,-N/A-,-N/A-,Bovine,Syncerus caffer,South Africa,genomic RNA
BOT/3/77,Foot-and-mouth disease virus - type SAT 2,AY254712,384,-N/A-,-N/A-,Cattle,cattle,Botswana,genomic RNA
CAR/17/00,Foot-and-mouth disease virus - type O,AY254403,489,-N/A-,-N/A-,Unknown,-N/A-,Cameroon,mRNA
SAR/5/81,Foot-and-mouth disease virus - type SAT 1,AY396744,417,-N/A-,-N/A-,Antelope,Aepyceros melampus,South Africa,genomic RNA
K114/99,Foot-and-mouth disease virus - type SAT 1,HQ267524,663,-N/A-,1999,Cattle,cattle,Kenya,genomic RNA
UGA/9/98,Foot-and-mouth disease virus - type O,HM211072,642,-N/A-,01/20/1998,Unknown,-N/A-,Uganda,genomic RNA
K77/96,Foot-and-mouth disease virus - type SAT 2,HM623697,648,-N/A-,1996,Cattle,cattle,Kenya,genomic RNA
T155/71,Foot-and-mouth disease virus - type SAT 1,HQ267519,663,-N/A-,1971,Cattle,cattle,Tanzania,genomic RNA
UGA/7/03/Hoima,Foot-and-mouth disease virus - type O,AY349956,495,-N/A-,-N/A-,Cattle,bovine,Uganda,genomic RNA
KNP/24/96,Foot-and-mouth disease virus - type SAT 2,AF137019,414,-N/A-,-N/A-,Bovine,African buffalo; Syncerus caffer,South Africa,genomic RNA
K13/87,Foot-and-mouth disease virus - type SAT 2,HM623687,648,-N/A-,1987,Cattle,cattle,Kenya,genomic RNA
KNP/18/95,Foot-and-mouth disease virus - type SAT 2,AF367118,648,-N/A-,-N/A-,Unknown,-N/A-,South Africa,genomic RNA
ALG/1/99,Foot-and-mouth disease virus - type O,AJ303481,638,-N/A-,-N/A-,Unknown,-N/A-,Algeria,mRNA
ZIM/3/94,Foot-and-mouth disease virus - type SAT 3,AY168807,417,-N/A-,-N/A-,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
UGA/4/03/Jinja,Foot-and-mouth disease virus - type O,AY349954,495,-N/A-,-N/A-,Cattle,bovine,Uganda,genomic RNA
ZIM/5/91,Foot-and-mouth disease virus - type SAT 3,AY884149,639,-N/A-,-N/A-,Unknown,-N/A-,-N/A-,mRNA
A/EGY/1/72,Foot-and-mouth disease virus - type A,EF208756,639,-N/A-,05/13/1972,Cattle,bovine,Egypt,genomic RNA
GHA/8/91,Foot-and-mouth disease virus - type SAT 2,AF479416,648,-N/A-,-N/A-,Unknown,-N/A-,Ghana,genomic RNA
KEN/28/91,Foot-and-mouth disease virus - type SAT 2,AY343948,648,-N/A-,-N/A-,Cattle,bovine,Kenya,genomic RNA
KNP/51/93,Foot-and-mouth disease virus - type SAT 2,GU194489,2220,-N/A-,1993,Antelope,impala,South Africa,genomic RNA
K42/07,Foot-and-mouth disease virus - type SAT 2,HM623707,648,-N/A-,2007,Cattle,cattle,Kenya,genomic RNA
KNP/8/89,Foot-and-mouth disease virus - type SAT 1,AY274488,417,-N/A-,-N/A-,Bovine,Syncerus caffer,South Africa,genomic RNA
KNP/397/98/1,Foot-and-mouth disease virus - type SAT 1,DQ780580,381,-N/A-,-N/A-,Buffalo,buffalo,South Africa,genomic RNA
vdi//044/08,Foot-and-mouth disease virus - type SAT 2,AY254466,357,-N/A-,-N/A-,Unknown,-N/A-,Cameroon,mRNA
KNP/1/87,Foot-and-mouth disease virus - type SAT 1,AY274486,417,-N/A-,-N/A-,Bovine,Syncerus caffer,South Africa,genomic RNA
O/ETH/30/94,Foot-and-mouth disease virus - type O,HM211078,639,-N/A-,08/15/1994,Unknown,-N/A-,Ethiopia,genomic RNA
GNA/6/99,Foot-and-mouth disease virus - type O,AJ303489,335,-N/A-,-N/A-,Unknown,-N/A-,Guinea,mRNA
ETH/58/2005,Foot-and-mouth disease virus - type O,FJ798141,642,-N/A-,04/20/2005,Cattle,cattle,Ethiopia,genomic RNA
KEN/6/92,Foot-and-mouth disease virus - type SAT 2,AY343952,648,-N/A-,-N/A-,Cattle,bovine,Kenya,genomic RNA
NAM/274/98,Foot-and-mouth disease virus - type SAT 3,AY168817,416,-N/A-,-N/A-,Bovine,Syncerus caffer,Namibia,genomic RNA
vdi/044/27,Foot-and-mouth disease virus - type SAT 2,AY254468,357,-N/A-,-N/A-,Unknown,-N/A-,Cameroon,mRNA
BOT/1/98,Foot-and-mouth disease virus - type SAT 2,AF367122,648,-N/A-,-N/A-,Unknown,-N/A-,Botswana,genomic RNA
KNP/25/89,Foot-and-mouth disease virus - type SAT 2,AF137006,414,-N/A-,-N/A-,Bovine,African buffalo; Syncerus caffer,South Africa,genomic RNA
KNP/39/89,Foot-and-mouth disease virus - type SAT 1,AY396739,417,-N/A-,-N/A-,Bovine,Syncerus caffer,South Africa,genomic RNA
vdi/044/04,Foot-and-mouth disease virus - type SAT 2,AY254464,357,-N/A-,-N/A-,Unknown,-N/A-,Cameroon,mRNA
BOT/3/06,Foot-and-mouth disease virus - type SAT 1,GU194501,2232,-N/A-,-N/A-,Unknown,-N/A-,-N/A-,genomic RNA
NAM/292/98,Foot-and-mouth disease virus - type SAT 2,AF367128,648,-N/A-,-N/A-,Unknown,-N/A-,Namibia,genomic RNA
ETH/1/91,Foot-and-mouth disease virus - type SAT 2,FJ798158,648,-N/A-,05-01-91,Cattle,cattle,Ethiopia,genomic RNA
K70/05,Foot-and-mouth disease virus - type SAT 2,HM623701,648,-N/A-,2005,Cattle,cattle,Kenya,genomic RNA
vlv/122/04,Foot-and-mouth disease virus - type A,AY254420,537,-N/A-,-N/A-,Unknown,-N/A-,Cameroon,mRNA
ZIMHv29/90,Foot-and-mouth disease virus - type SAT 1,AY274491,417,-N/A-,-N/A-,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
NIG/6/76,Foot-and-mouth disease virus - type SAT 1,GU194502,2229,-N/A-,1976,Cattle,bovine,Nigeria,genomic RNA
SAR/16/83,Foot-and-mouth disease virus - type SAT 2,AY254714,384,-N/A-,-N/A-,Antelope,Aepyceros melampus,South Africa,genomic RNA
KNP/18/95,Foot-and-mouth disease virus - type SAT 2,AF137016,414,-N/A-,-N/A-,Bovine,African buffalo; Syncerus caffer,South Africa,genomic RNA
dnl/085/09,Foot-and-mouth disease virus - type A,AY254425,537,-N/A-,-N/A-,Unknown,-N/A-,Cameroon,mRNA
vlv/122/03,Foot-and-mouth disease virus - type A,AY254429,537,-N/A-,-N/A-,Unknown,-N/A-,Cameroon,mRNA
KEN/1/85,Foot-and-mouth disease virus - type SAT 2,AY343942,648,-N/A-,-N/A-,Cattle,bovine,Kenya,genomic RNA
ETH/52/2005,Foot-and-mouth disease virus - type O,FJ798113,639,-N/A-,01-09-05,Cattle,cattle,Ethiopia,genomic RNA
KNP/183/91,Foot-and-mouth disease virus - type SAT 2,AF137012,414,-N/A-,-N/A-,Bovine,African buffalo; Syncerus caffer,South Africa,genomic RNA
KNP/20/88,Foot-and-mouth disease virus - type SAT 2,AF367107,648,-N/A-,-N/A-,Unknown,-N/A-,South Africa,genomic RNA
KNP/46/95,Foot-and-mouth disease virus - type SAT 2,AY254726,384,-N/A-,-N/A-,Bovine,Syncerus caffer,South Africa,genomic RNA
K39/95,Foot-and-mouth disease virus - type SAT 2,HM623696,648,-N/A-,1995,Cattle,cattle,Kenya,genomic RNA
UGA/2/97,Foot-and-mouth disease virus - type SAT 3,AY192556,402,-N/A-,-N/A-,Bovine,Syncerus caffer,Uganda,genomic RNA
K67/07,Foot-and-mouth disease virus - type SAT 2,HM623709,648,-N/A-,2007,Cattle,cattle,Kenya,genomic RNA
KEN/7/96,Foot-and-mouth disease virus - type SAT 2,AY343959,648,-N/A-,-N/A-,Cattle,bovine,Kenya,genomic RNA
A/GAM/44/98,Foot-and-mouth disease virus - type A,EF208768,636,-N/A-,04-02-98,Unknown,-N/A-,Gambia,genomic RNA
KEN/5/95 (K36/95),Foot-and-mouth disease virus - type O,AJ303516,273,-N/A-,-N/A-,Unknown,-N/A-,Kenya,mRNA
UGA/13/74,Foot-and-mouth disease virus - type SAT 1,AY442010,663,-N/A-,-N/A-,Unknown,-N/A-,Uganda,genomic RNA
TAN/5/96,Foot-and-mouth disease virus - type SAT 1,AY442007,663,-N/A-,-N/A-,Unknown,-N/A-,Tanzania,genomic RNA
KNP/9/93,Foot-and-mouth disease virus - type SAT 2,AF137014,414,-N/A-,-N/A-,Bovine,African buffalo; Syncerus caffer,South Africa,genomic RNA
MOZ/4/83,Foot-and-mouth disease virus - type SAT 2,AF367101,648,-N/A-,-N/A-,Unknown,-N/A-,Mozambique,genomic RNA
TAN/1A/84,Foot-and-mouth disease virus - type O,AY344612,495,-N/A-,-N/A-,Cattle,cattle,Tanzania,genomic RNA
KEN/3/98,Foot-and-mouth disease virus - type O,AY344592,495,-N/A-,-N/A-,Cattle,cattle,Kenya,genomic RNA
SOM/1/77,Foot-and-mouth disease virus - type O,AY344597,495,-N/A-,-N/A-,Cattle,cattle,Somalia,genomic RNA
ETH/4/2007,Foot-and-mouth disease virus - type A,FJ798150,639,-N/A-,12-07-07,Cattle,cattle,Ethiopia,genomic RNA
KNP/6/88,Foot-and-mouth disease virus - type SAT 3,AY168791,417,-N/A-,-N/A-,Bovine,Syncerus caffer,South Africa,genomic RNA
TAN/7/98,Foot-and-mouth disease virus - type O,AJ296320,636,-N/A-,-N/A-,Unknown,-N/A-,Tanzania,mRNA
KNP/148/91,Foot-and-mouth disease virus - type SAT 1,GU194495,2232,-N/A-,1991,Buffalo,buffalo,South Africa,genomic RNA
K37/95,Foot-and-mouth disease virus - type SAT 2,HM623695,648,-N/A-,1995,Cattle,cattle,Kenya,genomic RNA
KNP/44/94,Foot-and-mouth disease virus - type SAT 3,AY168804,417,-N/A-,-N/A-,Bovine,Syncerus caffer,South Africa,genomic RNA
vlv/122/08,Foot-and-mouth disease virus - type A,AY254430,537,-N/A-,-N/A-,Unknown,-N/A-,Cameroon,mRNA
K37/94,Foot-and-mouth disease virus - type SAT 2,HM623694,648,-N/A-,1994,Cattle,cattle,Kenya,genomic RNA
ETH/64/2005,Foot-and-mouth disease virus - type O,FJ798123,639,-N/A-,04/20/2005,Cattle,cattle,Ethiopia,genomic RNA
K6/04,Foot-and-mouth disease virus - type C,GU451113,627,-N/A-,2004,Cattle,bovine,Kenya,genomic RNA
SUD/13/74,Foot-and-mouth disease virus - type SAT 1,AY442000,663,-N/A-,-N/A-,Unknown,-N/A-,Sudan,genomic RNA
KNP/32/92,Foot-and-mouth disease virus - type SAT 2,AF367115,648,-N/A-,-N/A-,Unknown,-N/A-,South Africa,genomic RNA
UGA/28/98,Foot-and-mouth disease virus - type SAT 2,AY343968,648,-N/A-,-N/A-,Cattle,bovine,Uganda,genomic RNA
ETH/38/2005,Foot-and-mouth disease virus - type O,FJ798108,639,-N/A-,-N/A-,Cattle,cattle,Ethiopia,genomic RNA
mba/094/09,Foot-and-mouth disease virus - type A,AY254435,537,-N/A-,-N/A-,Unknown,-N/A-,Cameroon,mRNA
K3/93,Foot-and-mouth disease virus - type SAT 2,HM623691,648,-N/A-,1993,Cattle,cattle,Kenya,genomic RNA
fdl/074/10,Foot-and-mouth disease virus - type SAT 2,AY254471,357,-N/A-,-N/A-,Unknown,-N/A-,Cameroon,mRNA
TAN/13/74,Foot-and-mouth disease virus - type SAT 1,AY442001,663,-N/A-,-N/A-,Unknown,-N/A-,Tanzania,genomic RNA
KEN/7A/98,Foot-and-mouth disease virus - type SAT 2,AY343961,648,-N/A-,-N/A-,Cattle,bovine,Kenya,genomic RNA
vdi/044/30,Foot-and-mouth disease virus - type SAT 2,AY254469,357,-N/A-,-N/A-,Unknown,-N/A-,Cameroon,mRNA
K14/91,Foot-and-mouth disease virus - type SAT 2,HM623689,648,-N/A-,1991,Cattle,cattle,Kenya,genomic RNA
vdi/003/30,Foot-and-mouth disease virus - type SAT 2,AY254452,357,-N/A-,-N/A-,Unknown,-N/A-,Cameroon,mRNA
KNP/40/89,Foot-and-mouth disease virus - type SAT 2,AF137007,414,-N/A-,-N/A-,Bovine,African buffalo; Syncerus caffer,South Africa,genomic RNA
CAR/5/85,Foot-and-mouth disease virus - type A,AY254442,537,-N/A-,-N/A-,Unknown,-N/A-,Cameroon,mRNA
ZIM/Gn10/91,Foot-and-mouth disease virus - type SAT 2,AF367113,648,-N/A-,-N/A-,Unknown,-N/A-,Zimbabwe,genomic RNA
SOM/1/81,Foot-and-mouth disease virus - type O,AY344598,495,-N/A-,-N/A-,Cattle,cattle,Somalia,genomic RNA
ZIM/4/88,Foot-and-mouth disease virus - type SAT 2,AY254716,384,-N/A-,-N/A-,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ETH/48/2006,Foot-and-mouth disease virus - type O,FJ798135,639,-N/A-,12/28/2006,Cattle,cattle,Ethiopia,genomic RNA
KNP/1/85,Foot-and-mouth disease virus - type SAT 2,AF136986,414,-N/A-,-N/A-,Antelope,impala; Aepyceros melampus,South Africa,genomic RNA
ZIM/3/99,Foot-and-mouth disease virus - type SAT 3,AY168820,417,-N/A-,-N/A-,Cattle,bovine,Zimbabwe,genomic RNA
K34/84,Foot-and-mouth disease virus - type SAT 2,HM623684,648,-N/A-,1984,Cattle,cattle,Kenya,genomic RNA
A/EGY/5/2006,Foot-and-mouth disease virus - type A,EF208761,639,-N/A-,Feb-06,Unknown,-N/A-,Egypt,genomic RNA
dnl/085/10,Foot-and-mouth disease virus - type A,AY254432,537,-N/A-,-N/A-,Unknown,-N/A-,Cameroon,mRNA
SUD/2/83,Foot-and-mouth disease virus - type O,AY344607,495,-N/A-,-N/A-,Cattle,cattle,Sudan,genomic RNA
K120/04,Foot-and-mouth disease virus - type SAT 2,HM623700,648,-N/A-,2004,Cattle,cattle,Kenya,genomic RNA
GHA/5/93,Foot-and-mouth disease virus - type O,AJ303488,639,-N/A-,-N/A-,Unknown,-N/A-,Ghana,mRNA
UGA/42/75,Foot-and-mouth disease virus - type O,AY344628,495,-N/A-,-N/A-,Cattle,cattle,Uganda,genomic RNA
ETH/21/2007,Foot-and-mouth disease virus - type SAT 1,FJ798157,663,-N/A-,12-07-07,Cattle,cattle,Ethiopia,genomic RNA
ETH/63/2005,Foot-and-mouth disease virus - type O,FJ798122,639,-N/A-,04/20/2005,Cattle,cattle,Ethiopia,genomic RNA
fke/064/02,Foot-and-mouth disease virus - type SAT 2,AY254450,357,-N/A-,-N/A-,Unknown,-N/A-,Cameroon,mRNA
ERI/1/96,Foot-and-mouth disease virus - type O,AJ303486,216,-N/A-,-N/A-,Unknown,-N/A-,Eritrea,mRNA
ETH/2/90,Foot-and-mouth disease virus - type SAT 2,AY343936,648,-N/A-,-N/A-,Cattle,bovine,Ethiopia,genomic RNA
dnl/100/05,Foot-and-mouth disease virus - type A,AY254418,537,-N/A-,-N/A-,Unknown,-N/A-,Cameroon,mRNA
TAN 09-04.436,Foot-and-mouth disease virus,AB490330,199,-N/A-,2004,Cattle,Bos taurus,Tanzania,genomic RNA
KEN/1/94,Foot-and-mouth disease virus - type SAT 2,AY343954,648,-N/A-,-N/A-,Cattle,bovine,Kenya,genomic RNA
ZIM/Gn16/91,Foot-and-mouth disease virus - type SAT 1,AY274494,417,-N/A-,-N/A-,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
KNP/19/88,Foot-and-mouth disease virus - type SAT 2,AF367106,648,-N/A-,-N/A-,Unknown,-N/A-,South Africa,genomic RNA
BOT/31/98,Foot-and-mouth disease virus - type SAT 2,AF367125,648,-N/A-,-N/A-,Unknown,-N/A-,Botswana,genomic RNA
K151/83,Foot-and-mouth disease virus - type SAT 2,HM623683,648,-N/A-,1983,Cattle,cattle,Kenya,genomic RNA
dma/112/03,Foot-and-mouth disease virus - type A,AY254406,537,-N/A-,-N/A-,Unknown,-N/A-,Cameroon,mRNA
UGA/12/76,Foot-and-mouth disease virus - type O,AY344621,495,-N/A-,-N/A-,Cattle,cattle,Uganda,genomic RNA
KNP/29/92/1,Foot-and-mouth disease virus - type SAT 1,DQ780583,381,-N/A-,-N/A-,Buffalo,buffalo,South Africa,genomic RNA
UGA/2/97,Foot-and-mouth disease virus - type SAT 3,AY884147,639,-N/A-,-N/A-,Unknown,-N/A-,-N/A-,mRNA
ETH/20/2006,Foot-and-mouth disease virus - type O,FJ798130,639,-N/A-,05-01-06,Cattle,cattle,Ethiopia,genomic RNA
ETH/3/91,Foot-and-mouth disease virus - type SAT 2,FJ798160,648,-N/A-,05-01-91,Cattle,cattle,Ethiopia,genomic RNA
ETH/9/2005,Foot-and-mouth disease virus - type A,FJ798148,639,-N/A-,12/27/2000,Cattle,cattle,Ethiopia,genomic RNA
KNP/01/90/1,Foot-and-mouth disease virus - type SAT 1,DQ780596,381,-N/A-,-N/A-,Buffalo,buffalo,South Africa,genomic RNA
KNP/2/89,Foot-and-mouth disease virus - type SAT 2,GU194488,2220,-N/A-,1989,Antelope,impala,South Africa,genomic RNA
KNP/3/96,Foot-and-mouth disease virus - type SAT 3,AY168809,417,-N/A-,-N/A-,Bovine,Syncerus caffer,South Africa,genomic RNA
SAT3/MAL/3/76,Foot-and-mouth disease virus - type SAT 3,AJ303479,285,-N/A-,-N/A-,Unknown,-N/A-,Malawi,mRNA
SAR/5/01,Foot-and-mouth disease virus - type SAT 2,AY442907,648,-N/A-,-N/A-,Unknown,-N/A-,South Africa,genomic RNA
KNP/45/92/1,Foot-and-mouth disease virus - type SAT 1,DQ780582,381,-N/A-,-N/A-,Buffalo,buffalo,South Africa,genomic RNA
CAR/16/00,Foot-and-mouth disease virus - type O,AY254404,489,-N/A-,-N/A-,Unknown,-N/A-,Cameroon,mRNA
BOT 1/68,Foot-and-mouth disease virus - type SAT 1,EF134950,2238,-N/A-,-N/A-,Unknown,-N/A-,Botswana,genomic RNA
A/CAR/15/2000,Foot-and-mouth disease virus - type A,EF208755,639,-N/A-,2000,Cattle,bovine,Cameroon,genomic RNA
ZIM/48/97,Foot-and-mouth disease virus - type SAT 2,AF136985,409,-N/A-,-N/A-,Bovine,African buffalo,Zimbabwe,genomic RNA
K49/99,Foot-and-mouth disease virus - type SAT 2,HM623698,648,-N/A-,1999,Cattle,cattle,Kenya,genomic RNA
NIG/8/76,Foot-and-mouth disease virus - type SAT 1,GU194503,2229,-N/A-,1976,Cattle,bovine,Nigeria,genomic RNA
O/K/117/1999,Foot-and-mouth disease virus - type O,HM625676,7254,-N/A-,1999,Bovine,Ankole cow,Kenya,genomic RNA
KEN/7/99,Foot-and-mouth disease virus - type SAT 2,AF367132,648,-N/A-,-N/A-,Unknown,-N/A-,Kenya,genomic RNA
ETH/56/2005,Foot-and-mouth disease virus - type O,FJ798120,639,-N/A-,02/15/2005,Cattle,cattle,Ethiopia,genomic RNA
NAM/286/98,Foot-and-mouth disease virus - type SAT 2,AF367127,648,-N/A-,-N/A-,Unknown,-N/A-,Namibia,genomic RNA
SUD/10/74,Foot-and-mouth disease virus - type O,AY344600,495,-N/A-,-N/A-,Cattle,cattle,Sudan,genomic RNA
KNP/9/96,Foot-and-mouth disease virus - type SAT 3,AY168811,417,-N/A-,-N/A-,Bovine,Syncerus caffer,South Africa,genomic RNA
SAR/30/74,Foot-and-mouth disease virus - type SAT 1,AY396731,417,-N/A-,-N/A-,Antelope,Aepyceros melampus,South Africa,genomic RNA
vmb/151/09,Foot-and-mouth disease virus - type SAT 2,AY254457,357,-N/A-,-N/A-,Unknown,-N/A-,Cameroon,mRNA
ZIM/1/91,Foot-and-mouth disease virus - type SAT 1,AY274495,417,-N/A-,-N/A-,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/4/99,Foot-and-mouth disease virus - type SAT 3,AY168821,417,-N/A-,-N/A-,Cattle,bovine,Zimbabwe,genomic RNA
